,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
182,Anwar El Ghazi,FWMF,Aston Villa,26,1995,4.3,11,2.56,8,1,1,0,1,0,2,0.47,2,0,0,0,0,0,Matches
183,Anwar El Ghazi,FW,Everton,26,1995,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
184,Saman Ghoddos,DFMF,Brentford,27,1993,6,25,4.2,18,2,0,1,3,1,2,0.34,1,0,0,0,1,0,Matches
185,Dimitris Giannoulis,DF,Norwich City,25,1995,13,17,1.31,14,1,0,0,2,0,2,0.15,2,0,0,0,0,0,Matches
186,Morgan Gibbs-White,FWMF,Wolves,21,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
187,Ben Gibson,DF,Norwich City,28,1993,27.7,11,0.4,10,0,0,0,0,1,1,0.04,1,0,0,0,0,0,Matches
188,Billy Gilmour,MF,Norwich City,20,2001,20.6,48,2.33,21,22,1,3,0,1,1,0.05,0,1,0,0,0,0,Matches
189,Ben Godfrey,DF,Everton,23,1998,22.5,31,1.38,24,2,1,2,0,2,2,0.09,1,0,0,1,0,0,Matches
190,André Gomes,MF,Everton,28,1993,6.9,13,1.89,9,0,2,1,1,0,2,0.29,1,0,1,0,0,0,Matches
191,Toti Gomes,DF,Wolves,22,1999,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
192,Joe Gomez,DF,Liverpool,24,1997,3.7,8,2.18,7,0,0,0,1,0,2,0.54,2,0,0,0,0,0,Matches
193,Charlie Goode,DF,Brentford,25,1995,5,12,2.4,2,7,1,1,0,1,0,0,0,0,0,0,0,0,Matches
194,Anthony Gordon,MFFW,Everton,20,2001,25.4,73,2.88,38,14,5,2,12,2,5,0.2,1,2,0,0,2,0,Matches
195,Kaide Gordon,FW,Liverpool,16,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
196,Dan Gosling,MF,Watford,31,1990,1.8,2,1.08,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches
197,Demarai Gray,MFFW,Everton,25,1996,26,83,3.2,48,13,12,4,6,0,6,0.23,3,1,1,1,0,0,Matches
198,Jack Grealish,FW,Manchester City,25,1995,21.3,110,5.17,87,1,5,5,11,1,7,0.33,7,0,0,0,0,0,Matches
199,Mason Greenwood,FWMF,Manchester Utd,19,2001,14.1,44,3.12,37,0,4,1,2,0,7,0.5,6,0,0,1,0,0,Matches
200,Sam Greenwood,MFFW,Leeds United,19,2002,2.6,6,2.28,5,0,0,1,0,0,2,0.76,2,0,0,0,0,0,Matches
201,Pascal Groß,MFDF,Brighton,30,1991,22.6,91,4.02,49,37,1,4,0,0,7,0.31,2,3,1,1,0,0,Matches
202,Vicente Guaita,GK,Crystal Palace,34,1987,29.5,1,0.03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
203,Marc Guéhi,DF,Crystal Palace,21,2000,35.8,21,0.59,18,0,0,2,0,1,2,0.06,1,0,0,1,0,0,Matches
204,Bruno Guimarães,MF,Newcastle Utd,23,1997,11.5,24,2.09,19,0,1,2,0,2,3,0.26,1,0,0,1,0,1,Matches
205,İlkay Gündoğan,MF,Manchester City,30,1990,20.6,71,3.44,52,12,5,1,0,1,7,0.34,6,0,1,0,0,0,Matches
206,Angus Gunn,GK,Norwich City,25,1996,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
207,Grant Hanley,DF,Norwich City,29,1991,32.2,10,0.31,5,1,0,4,0,0,0,0,0,0,0,0,0,0,Matches
208,Jack Harrison,FWMF,Leeds United,24,1996,29.3,79,2.69,52,7,8,6,5,1,3,0.1,1,0,1,1,0,0,Matches
209,Kortney Hause,DF,Aston Villa,26,1995,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
210,Kai Havertz,FWMF,Chelsea,22,1999,20.1,53,2.64,40,0,2,6,5,0,7,0.35,4,0,1,1,1,0,Matches
211,Isaac Hayden,MFDF,Newcastle Utd,26,1995,11.1,6,0.54,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
212,Hwang Hee-chan,FWMF,Wolves,25,1996,20.2,34,1.69,23,0,3,3,3,2,3,0.15,1,0,1,0,0,1,Matches
213,Jordan Henderson,MF,Liverpool,31,1990,28.9,78,2.7,71,4,2,0,0,1,11,0.38,11,0,0,0,0,0,Matches
214,Jeff Hendrick,MF,Newcastle Utd,29,1992,0.8,1,1.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
215,Wayne Hennessey,GK,Burnley,34,1987,2,3,1.5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
216,Rico Henry,DF,Brentford,24,1997,30.8,41,1.33,36,1,3,0,1,0,1,0.03,1,0,0,0,0,0,Matches
217,Son Heung-min,FWMF,Tottenham,29,1992,33.4,129,3.86,75,35,4,8,6,1,15,0.45,8,4,0,0,3,0,Matches
218,Ki-Jana Hoever,DF,Wolves,19,2002,3.4,3,0.88,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
219,Rob Holding,DF,Arsenal,25,1995,9.4,3,0.32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
220,Mason Holgate,DF,Everton,24,1996,23.7,3,0.13,3,0,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
221,Callum Hudson-Odoi,FWMF,Chelsea,20,2000,10.7,51,4.77,37,0,7,3,4,0,6,0.56,4,0,0,0,2,0,Matches
222,Will Hughes,MF,Crystal Palace,26,1995,11.7,20,1.71,12,3,0,0,2,3,3,0.26,1,1,0,0,1,0,Matches
223,Pierre Højbjerg,MF,Tottenham,25,1995,35.5,81,2.28,67,3,5,1,2,3,5,0.14,5,0,0,0,0,0,Matches
224,Adam Idah,FWMF,Norwich City,20,2001,6.9,12,1.73,8,1,1,0,2,0,1,0.14,1,0,0,0,0,0,Matches
225,Kelechi Iheanacho,FW,Leicester City,24,1996,14,36,2.56,28,1,2,2,1,2,8,0.57,5,0,0,1,0,2,Matches
226,Danny Ings,FW,Aston Villa,29,1992,21.1,31,1.47,24,0,1,4,1,1,8,0.38,8,0,0,0,0,0,Matches
227,Tim Iroegbunam,MF,Aston Villa,18,2003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
228,Alex Iwobi,MFDF,Everton,25,1996,22.6,62,2.74,58,2,0,1,0,1,6,0.27,6,0,0,0,0,0,Matches
229,Daniel James,FW,Manchester Utd,23,1997,1.4,3,2.14,2,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
230,Daniel James,FWMF,Leeds United,23,1997,26.3,53,2.02,36,0,3,6,7,1,5,0.19,3,0,1,0,1,0,Matches
231,Reece James,DF,Chelsea,21,1999,20.7,79,3.81,61,8,3,4,3,0,11,0.53,9,1,1,0,0,0,Matches
232,Vitaly Janelt,MF,Brentford,23,1998,25.5,53,2.08,40,3,2,4,3,1,4,0.16,3,0,0,1,0,0,Matches
233,Pontus Jansson,DF,Brentford,30,1991,36.9,15,0.41,7,0,0,7,1,0,4,0.11,1,0,0,2,1,0,Matches
234,Mathias Jensen,MF,Brentford,25,1996,17.8,57,3.2,35,19,1,0,0,2,3,0.17,2,1,0,0,0,0,Matches
235,Gabriel Jesus,FW,Manchester City,24,1997,20.9,78,3.74,52,0,13,7,4,2,18,0.86,11,0,2,1,2,2,Matches
236,Raúl Jiménez,FW,Wolves,30,1991,29.2,67,2.29,47,1,4,7,5,3,15,0.51,7,0,3,3,1,1,Matches
237,Joelinton,MFFW,Newcastle Utd,24,1996,28.4,64,2.25,44,0,3,8,6,3,6,0.21,4,0,0,1,1,0,Matches
238,Ben Johnson,DF,West Ham,21,2000,15.5,16,1.03,14,1,0,0,1,0,2,0.13,2,0,0,0,0,0,Matches
239,Curtis Jones,MF,Liverpool,20,2001,9.5,26,2.75,15,1,2,3,3,2,2,0.21,1,0,0,1,0,0,Matches
240,Phil Jones,DF,Manchester Utd,29,1992,1.8,2,1.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches
241,Jorginho,MF,Chelsea,29,1991,25.3,60,2.38,52,1,1,2,2,2,8,0.32,8,0,0,0,0,0,Matches
242,Diogo Jota,FW,Liverpool,24,1996,26.3,87,3.31,58,0,12,4,9,4,14,0.53,7,0,4,1,2,0,Matches
243,James Justin,DF,Leicester City,23,1998,11.1,16,1.44,15,0,0,0,1,0,1,0.09,1,0,0,0,0,0,Matches
244,Mathias Jørgensen,DF,Brentford,31,1990,5.8,6,1.04,3,2,0,1,0,0,0,0,0,0,0,0,0,0,Matches
245,Ozan Kabak,DF,Norwich City,21,2000,10.2,10,0.98,4,0,1,1,3,1,0,0,0,0,0,0,0,0,Matches
246,Christian Kabasele,DF,Watford,30,1991,13.3,5,0.38,4,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
247,Samuel Kalu,FW,Watford,23,1997,2.5,6,2.43,3,0,0,0,2,1,0,0,0,0,0,0,0,0,Matches
248,Hassane Kamara,DF,Watford,27,1994,18,21,1.16,16,0,1,1,0,3,0,0,0,0,0,0,0,0,Matches
249,Harry Kane,FW,Tottenham,28,1993,35.9,117,3.26,86,2,10,11,6,2,21,0.58,17,0,1,3,0,0,Matches
250,N'Golo Kanté,MF,Chelsea,30,1991,19.7,61,3.1,52,0,4,2,0,3,13,0.66,11,0,1,1,0,0,Matches
251,Edo Kayembe,MF,Watford,22,1998,8.9,13,1.46,12,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
252,Moise Kean,FW,Everton,21,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
253,Michael Keane,DF,Everton,28,1993,31,14,0.45,9,2,0,3,0,0,1,0.03,1,0,0,0,0,0,Matches
254,Naby Keïta,MF,Liverpool,26,1995,13,43,3.3,33,0,3,4,0,3,6,0.46,4,0,1,1,0,0,Matches
255,Caoimhín Kelleher,GK,Liverpool,22,1998,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
256,Kenedy,DF,Chelsea,25,1996,0.6,3,4.66,2,0,0,1,0,0,1,1.55,1,0,0,0,0,0,Matches
257,Jonjoe Kenny,DF,Everton,24,1997,11.3,20,1.77,15,2,2,1,0,0,2,0.18,2,0,0,0,0,0,Matches
258,Max Kilman,DF,Wolves,24,1997,29.9,9,0.3,6,0,1,1,0,1,1,0.03,0,0,0,1,0,0,Matches
259,Joshua King,FW,Watford,29,1992,25,60,2.4,46,0,4,4,5,1,7,0.28,5,0,1,1,0,0,Matches
260,Kristoffer Klaesson,GK,Leeds United,20,2000,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
261,Mateusz Klich,MF,Leeds United,31,1990,23,68,2.95,54,3,3,4,3,1,6,0.26,5,0,0,1,0,0,Matches
262,Robin Koch,MFDF,Leeds United,25,1996,17.5,18,1.03,16,0,0,1,1,0,1,0.06,1,0,0,0,0,0,Matches
263,Sead Kolašinac,DF,Arsenal,28,1993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
264,Ibrahima Konaté,DF,Liverpool,22,1999,11,6,0.55,6,0,0,0,0,0,2,0.18,2,0,0,0,0,0,Matches
265,Ezri Konsa,DF,Aston Villa,23,1997,27.5,10,0.36,8,0,0,1,0,1,0,0,0,0,0,0,0,0,Matches
266,Cheikhou Kouyaté,MF,Crystal Palace,31,1989,21.9,17,0.78,14,0,2,0,0,1,1,0.05,1,0,0,0,0,0,Matches
267,Mateo Kovačić,MF,Chelsea,27,1994,17.3,58,3.35,50,0,2,3,3,0,6,0.35,6,0,0,0,0,0,Matches
268,Emil Krafth,DF,Newcastle Utd,26,1994,18.2,13,0.72,7,4,1,1,0,0,1,0.06,1,0,0,0,0,0,Matches
269,Alex Král,MF,West Ham,23,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
270,Tim Krul,GK,Norwich City,33,1988,29,5,0.17,3,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
271,Juraj Kucka,MF,Watford,34,1987,21.3,37,1.73,23,0,5,2,5,2,2,0.09,1,0,0,0,1,0,Matches
272,Dejan Kulusevski,MFFW,Tottenham,21,2000,14,47,3.35,35,0,6,5,1,0,14,1,10,0,3,1,0,0,Matches
273,Alexandre Lacazette,FWMF,Arsenal,30,1991,19.8,65,3.28,43,0,7,4,9,2,9,0.45,6,0,0,1,1,1,Matches
274,Adam Lallana,MF,Brighton,33,1988,17.3,27,1.56,23,0,1,0,2,1,3,0.17,3,0,0,0,0,0,Matches
275,Tariq Lamptey,DFFW,Brighton,20,2000,17.3,47,2.71,33,0,4,3,4,3,2,0.12,2,0,0,0,0,0,Matches
276,Manuel Lanzini,MFFW,West Ham,28,1993,19.8,55,2.77,45,5,2,0,2,1,10,0.5,6,1,1,0,1,1,Matches
277,Aymeric Laporte,DF,Manchester City,27,1994,31.4,30,0.95,26,0,0,3,1,0,4,0.13,2,0,0,1,1,0,Matches
278,Jamaal Lascelles,DF,Newcastle Utd,27,1993,22.9,6,0.26,6,0,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
279,Pierre Lees-Melou,MF,Norwich City,28,1993,25.2,52,2.07,44,1,1,1,1,4,1,0.04,0,0,0,0,1,0,Matches
280,Aaron Lennon,MF,Burnley,34,1987,17.2,32,1.86,20,0,5,1,6,0,5,0.29,1,0,2,0,2,0,Matches
281,Bernd Leno,GK,Arsenal,29,1992,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
282,Jamal Lewis,DF,Newcastle Utd,23,1998,2.9,2,0.69,2,0,0,0,0,0,1,0.34,1,0,0,0,0,0,Matches
283,Victor Lindelöf,DF,Manchester Utd,27,1994,26.2,10,0.38,10,0,0,0,0,0,3,0.11,3,0,0,0,0,0,Matches
284,Jesse Lingard,FWMF,Manchester Utd,28,1992,4.1,15,3.68,12,0,0,2,1,0,1,0.25,0,0,0,1,0,0,Matches
285,Valentino Livramento,DF,Southampton,18,2002,24.5,40,1.63,37,0,1,0,2,0,2,0.08,1,0,0,0,1,0,Matches
286,Diego Llorente,DF,Leeds United,27,1993,26,6,0.23,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
287,Hugo Lloris,GK,Tottenham,34,1986,38,6,0.16,6,0,0,0,0,0,2,0.05,2,0,0,0,0,0,Matches
288,Giovani Lo Celso,MFFW,Tottenham,25,1996,2.6,10,3.78,5,2,0,1,2,0,0,0,0,0,0,0,0,0,Matches
289,Jürgen Locadia,FW,Brighton,27,1993,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
290,Ruben Loftus-Cheek,MFDF,Chelsea,25,1996,15.5,52,3.36,39,0,3,4,3,3,7,0.45,4,0,0,2,0,1,Matches
291,Kevin Long,DF,Burnley,30,1990,4.6,1,0.22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
292,Shane Long,FW,Southampton,34,1987,3.4,5,1.46,2,0,0,0,3,0,0,0,0,0,0,0,0,0,Matches
293,Sean Longstaff,MF,Newcastle Utd,23,1997,16.3,24,1.48,20,1,0,1,0,2,4,0.25,3,0,0,0,0,1,Matches
294,Ademola Lookman,FWMF,Leicester City,23,1997,16.1,40,2.48,30,1,4,2,2,1,2,0.12,1,0,0,0,1,0,Matches
295,Jonas Lössl,GK,Brentford,32,1989,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
296,Imran Louza,MF,Watford,22,1999,15.7,30,1.91,13,11,1,2,1,2,1,0.06,1,0,0,0,0,0,Matches
297,Matthew Lowton,DF,Burnley,32,1989,19.7,33,1.68,25,4,0,1,2,1,2,0.1,1,0,0,1,0,0,Matches
298,Douglas Luiz,MF,Aston Villa,23,1998,30.2,75,2.49,46,19,1,3,6,0,8,0.27,3,2,0,2,1,0,Matches
299,Romelu Lukaku,FW,Chelsea,28,1993,17.7,44,2.49,30,0,4,2,6,2,5,0.28,0,0,1,0,3,1,Matches
300,Lyanco,DF,Southampton,24,1997,10.1,9,0.89,6,0,0,1,0,2,1,0.1,1,0,0,0,0,0,Matches
301,Alexis Mac Allister,MFFW,Brighton,22,1998,23.6,66,2.8,46,9,1,2,4,4,4,0.17,1,2,0,1,0,0,Matches
302,James Maddison,MFFW,Leicester City,24,1996,27.3,100,3.66,56,12,9,8,12,3,19,0.7,13,1,1,1,2,1,Matches
303,Harry Maguire,DF,Manchester Utd,28,1993,27.9,20,0.72,11,2,1,4,1,1,1,0.04,1,0,0,0,0,0,Matches
304,Riyad Mahrez,FW,Manchester City,30,1991,16.6,64,3.85,49,9,1,3,1,1,7,0.42,4,2,0,1,0,0,Matches
305,Ainsley Maitland-Niles,MF,Arsenal,23,1997,3,8,2.69,5,1,0,1,0,1,0,0,0,0,0,0,0,0,Matches
306,Sadio Mané,FW,Liverpool,29,1992,31.3,97,3.1,67,0,5,14,8,3,13,0.42,7,0,1,4,1,0,Matches
307,Javier Manquillo,DF,Newcastle Utd,27,1994,14,9,0.64,8,0,0,0,1,0,4,0.29,3,0,0,0,1,0,Matches
308,Fernando Marçal,DF,Wolves,32,1989,16.1,17,1.06,15,0,0,1,1,0,1,0.06,0,0,0,1,0,0,Matches
309,Solly March,DFFW,Brighton,27,1994,19.4,67,3.45,41,14,7,0,3,2,4,0.21,3,0,0,0,1,0,Matches
310,Pablo Marí,DF,Arsenal,27,1993,2,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
311,Anthony Martial,FW,Manchester Utd,25,1995,2.4,3,1.27,3,0,0,0,0,0,2,0.85,2,0,0,0,0,0,Matches
312,Martinelli,FWMF,Arsenal,20,2001,20.7,70,3.39,47,4,8,7,2,2,11,0.53,6,2,1,2,0,0,Matches
313,Emiliano Martínez,GK,Aston Villa,28,1992,36,3,0.08,3,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
314,Adam Masina,DF,Watford,27,1994,12,11,0.92,6,3,0,0,1,1,1,0.08,1,0,0,0,0,0,Matches
315,Arthur Masuaku,DFFW,West Ham,27,1993,7.2,6,0.83,4,2,0,0,0,0,2,0.28,1,1,0,0,0,0,Matches
316,Juan Mata,MF,Manchester Utd,33,1988,2.6,6,2.3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
317,Jean-Philippe Mateta,FW,Crystal Palace,24,1997,12.7,18,1.41,15,0,0,3,0,0,2,0.16,1,0,0,1,0,0,Matches
318,Nemanja Matić,MF,Manchester Utd,32,1988,15.4,28,1.82,25,0,0,0,1,2,5,0.33,5,0,0,0,0,0,Matches
319,Joël Matip,DF,Liverpool,29,1991,31,34,1.1,26,0,0,7,1,0,9,0.29,7,0,0,1,1,0,Matches
320,Neal Maupay,FW,Brighton,24,1996,25.3,64,2.53,46,0,7,6,5,0,3,0.12,3,0,0,0,0,0,Matches
321,Bryan Mbeumo,FW,Brentford,21,1999,32.3,77,2.39,49,9,8,5,5,1,12,0.37,10,1,0,0,1,0,Matches
322,James McArthur,MF,Crystal Palace,33,1987,16,29,1.81,25,1,1,0,1,1,3,0.19,3,0,0,0,0,0,Matches
323,James Mcatee,MFFW,Manchester City,18,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
324,Kasey McAteer,FW,Leicester City,19,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
325,Liam McCarron,FW,Leeds United,20,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
326,Alex McCarthy,GK,Southampton,31,1989,17,1,0.06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
327,John McGinn,MF,Aston Villa,26,1994,34.3,96,2.8,66,20,3,2,4,1,5,0.15,4,1,0,0,0,0,Matches
328,Stuart McKinstry,MF,Leeds United,18,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
329,Kenny McLean,MF,Norwich City,29,1992,30.1,34,1.13,27,2,0,2,0,3,2,0.07,2,0,0,0,0,0,Matches
330,Dwight McNeil,MF,Burnley,21,1999,34.5,97,2.81,52,22,5,6,10,2,5,0.14,3,2,0,0,0,0,Matches
331,Scott McTominay,MF,Manchester Utd,24,1996,26.5,45,1.7,37,0,3,1,2,2,6,0.23,4,0,0,1,0,1,Matches
332,Ben Mee,DF,Burnley,31,1989,20.4,8,0.39,5,0,0,2,1,0,0,0,0,0,0,0,0,0,Matches
333,Hannibal Mejbri,FW,Manchester Utd,18,2003,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
334,Benjamin Mendy,DF,Manchester City,27,1994,0.9,4,4.62,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
335,Edouard Mendy,GK,Chelsea,29,1992,34,2,0.06,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
336,Nampalys Mendy,MF,Leicester City,29,1992,11.5,6,0.52,5,0,0,0,0,1,3,0.26,3,0,0,0,0,0,Matches
337,Illan Meslier,GK,Leeds United,21,2000,37.6,2,0.05,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
338,Luka Milivojević,MF,Crystal Palace,30,1991,8.6,16,1.86,6,9,0,0,1,0,1,0.12,1,0,0,0,0,0,Matches
339,James Milner,MFDF,Liverpool,35,1986,9.5,31,3.27,23,6,1,1,0,0,1,0.11,1,0,0,0,0,0,Matches
340,Yerry Mina,DF,Everton,26,1994,9.4,3,0.32,2,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches
341,Takumi Minamino,FWMF,Liverpool,26,1995,2.1,7,3.39,5,0,0,0,1,1,1,0.48,1,0,0,0,0,0,Matches
342,Tyrone Mings,DF,Aston Villa,28,1993,35.4,26,0.73,20,0,0,3,2,1,4,0.11,3,0,0,1,0,0,Matches
343,Tyrick Mitchell,DF,Crystal Palace,21,1999,34.5,41,1.19,35,2,1,1,1,1,5,0.15,5,0,0,0,0,0,Matches
344,Jakub Moder,MFFW,Brighton,22,1999,18.9,37,1.96,23,3,3,6,0,2,4,0.21,3,0,0,1,0,0,Matches
345,Wesley Moraes,FW,Aston Villa,24,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
346,Tyler Morton,MF,Liverpool,18,2002,0.7,1,1.36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
347,Mason Mount,MFFW,Chelsea,22,1999,26.3,111,4.23,72,21,5,8,4,1,15,0.57,9,4,0,1,1,0,Matches
348,Lucas Moura,FWMF,Tottenham,28,1992,19.7,63,3.19,52,0,3,2,5,1,9,0.46,9,0,0,0,0,0,Matches
349,João Moutinho,MF,Wolves,34,1986,33,68,2.06,44,18,1,2,0,3,4,0.12,3,1,0,0,0,0,Matches
350,Bali Mumba,DF,Norwich City,19,2001,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
351,Jacob Murphy,FWDF,Newcastle Utd,26,1995,16.4,45,2.75,34,2,4,4,1,0,5,0.31,2,0,0,2,1,0,Matches
352,Enock Mwepu,MFFW,Brighton,23,1998,11.1,22,1.99,17,0,0,2,3,0,7,0.63,6,0,0,0,1,0,Matches
353,Vitaliy Mykolenko,DF,Everton,22,1999,11.7,14,1.19,8,4,0,0,1,1,3,0.26,1,1,0,0,1,0,Matches
354,Marvelous Nakamba,MF,Aston Villa,27,1994,10,6,0.6,5,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches
355,Wilfred Ndidi,MFDF,Leicester City,24,1996,18,14,0.78,9,0,0,3,1,1,2,0.11,1,0,0,1,0,0,Matches
356,Tanguy Ndombele,MF,Tottenham,24,1996,5.4,13,2.42,10,0,1,1,1,0,1,0.19,1,0,0,0,0,0,Matches
357,Reiss Nelson,FW,Arsenal,21,1999,0.2,3,13.5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
358,Pedro Neto,FWMF,Wolves,21,2000,5.2,23,4.44,13,4,2,2,2,0,1,0.19,1,0,0,0,0,0,Matches
359,Rúben Neves,MF,Wolves,24,1997,29.6,55,1.86,45,2,1,3,2,2,3,0.1,3,0,0,0,0,0,Matches
360,Jeremy Ngakia,DF,Watford,20,2000,10,12,1.2,8,2,0,1,1,0,1,0.1,1,0,0,0,0,0,Matches
361,Saúl Ñíguez,MFDF,Chelsea,26,1994,5.3,8,1.5,7,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
362,Eddie Nketiah,FW,Arsenal,22,1999,9.3,23,2.48,15,0,2,3,1,2,4,0.43,1,0,0,1,0,2,Matches
363,Nicolas Nkoulou,DF,Watford,31,1990,1.9,1,0.54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
364,Mark Noble,MF,West Ham,34,1987,3.7,5,1.36,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
